Environment,Algorithm,Seed,Current Step,Mean Reward,Standard Deviation Reward,Success Rate,Training Time,Mean Episode Length
CartPole-v1,A2C,12345,65000,500.0,0.0,100.0,37.00742554664612,500.0
CartPole-v1,A2C,12345,70000,500.0,0.0,100.0,39.95362901687622,500.0
CartPole-v1,A2C,12345,75000,500.0,0.0,100.0,43.12525963783264,500.0
CartPole-v1,A2C,12345,80000,500.0,0.0,100.0,46.18166732788086,500.0
CartPole-v1,A2C,12345,85000,500.0,0.0,100.0,49.18846845626831,500.0
CartPole-v1,A2C,12345,90000,500.0,0.0,100.0,52.176066637039185,500.0
CartPole-v1,A2C,12345,95000,500.0,0.0,100.0,55.182880878448486,500.0
CartPole-v1,A2C,12345,100000,500.0,0.0,100.0,58.13190484046936,500.0
CartPole-v1,A2C,666,5000,365.8,110.40181157933958,20.0,3.0911388397216797,365.8
CartPole-v1,A2C,666,10000,222.6,10.87382177525455,0.0,6.048713684082031,222.6
CartPole-v1,A2C,666,15000,500.0,0.0,100.0,9.047544002532959,500.0
CartPole-v1,A2C,666,20000,170.8,11.651609330903607,0.0,12.018921613693237,170.8
CartPole-v1,A2C,666,25000,145.2,8.423775875461075,0.0,15.031852960586548,145.2
CartPole-v1,A2C,666,30000,161.4,4.923413450036469,0.0,18.08104658126831,161.4
CartPole-v1,A2C,666,35000,234.2,9.173875952943773,0.0,21.177013635635376,234.2
CartPole-v1,A2C,666,40000,500.0,0.0,100.0,24.096408367156982,500.0
CartPole-v1,A2C,666,45000,500.0,0.0,100.0,27.010004997253418,500.0
CartPole-v1,A2C,666,50000,295.8,69.94969621092002,0.0,29.93514108657837,295.8
CartPole-v1,A2C,666,55000,9.0,0.8944271909999159,0.0,32.882166385650635,9.0
CartPole-v1,A2C,666,60000,9.2,0.7483314773547882,0.0,35.85304617881775,9.2
CartPole-v1,A2C,666,65000,119.0,4.774934554525329,0.0,38.819612979888916,119.0
CartPole-v1,A2C,666,70000,124.4,4.715930449020639,0.0,41.74990272521973,124.4
CartPole-v1,A2C,666,75000,67.0,5.215361924162119,0.0,44.69426155090332,67.0
CartPole-v1,A2C,666,80000,99.2,8.133879763065101,0.0,47.74668765068054,99.2
CartPole-v1,A2C,666,85000,500.0,0.0,100.0,50.45733165740967,500.0
CartPole-v1,A2C,666,90000,500.0,0.0,100.0,53.07064151763916,500.0
CartPole-v1,A2C,666,95000,500.0,0.0,100.0,55.70255661010742,500.0
