Environment,Algorithm,Seed,Current Step,Mean Reward,Standard Deviation Reward,Success Rate,Training Time,Mean Episode Length
CartPole-v1,PPO,42,1,106.0,29.80603965641863,0.0,0.9805881977081299,106.0
CartPole-v1,PPO,42,2,95.0,18.18790807102345,0.0,1.9396092891693115,95.0
CartPole-v1,PPO,42,3,245.0,70.35339366370324,0.0,2.8782055377960205,245.0
CartPole-v1,PPO,42,4,193.8,55.5063960278453,0.0,3.798374652862549,193.8
CartPole-v1,PPO,42,5,319.8,86.0753158576836,0.0,4.723294496536255,319.8
CartPole-v1,PPO,42,6,331.2,100.02879585399397,20.0,5.61014723777771,331.2
CartPole-v1,PPO,42,7,413.0,108.89260764624935,60.0,6.511634826660156,413.0
CartPole-v1,PPO,42,8,410.4,58.959647217397766,20.0,7.380800247192383,410.4
CartPole-v1,PPO,42,9,460.4,48.504020451917185,60.0,8.232284784317017,460.4
CartPole-v1,PPO,42,10,500.0,0.0,100.0,9.108685970306396,500.0
CartPole-v1,PPO,1337,1,315.0,142.59873772232348,20.0,0.9314162731170654,315.0
CartPole-v1,PPO,1337,2,212.2,148.26381891749585,20.0,1.8383440971374512,212.2
CartPole-v1,PPO,1337,3,336.2,145.33464831209383,0.0,2.744260787963867,336.2
CartPole-v1,PPO,1337,4,314.8,109.39360127539453,20.0,3.6729042530059814,314.8
CartPole-v1,PPO,1337,5,467.0,41.876007450567684,40.0,4.531760215759277,467.0
CartPole-v1,PPO,1337,6,300.0,64.47635225414044,0.0,5.449450492858887,300.0
CartPole-v1,PPO,1337,7,343.6,86.15474450081086,20.0,6.33045220375061,343.6
CartPole-v1,PPO,1337,8,419.8,98.22911991868807,60.0,7.194370985031128,419.8
CartPole-v1,PPO,1337,9,500.0,0.0,100.0,8.060286045074463,500.0
CartPole-v1,PPO,1337,10,500.0,0.0,100.0,8.953157663345337,500.0
CartPole-v1,PPO,12345,1,176.4,15.653753543479596,0.0,0.9039905071258545,176.4
CartPole-v1,PPO,12345,2,277.4,143.97722042045402,0.0,1.7819619178771973,277.4
CartPole-v1,PPO,12345,3,296.2,133.89159794400842,20.0,2.6488378047943115,296.2
CartPole-v1,PPO,12345,4,387.2,139.6257855841821,60.0,3.6028051376342773,387.2
CartPole-v1,PPO,12345,5,431.6,84.38151456332128,60.0,4.502871513366699,431.6
CartPole-v1,PPO,12345,6,399.8,122.97381835171258,60.0,5.404397964477539,399.8
CartPole-v1,PPO,12345,7,448.6,82.16958074616178,60.0,6.49344801902771,448.6
CartPole-v1,PPO,12345,8,500.0,0.0,100.0,7.451301336288452,500.0
CartPole-v1,PPO,12345,9,476.0,48.0,80.0,8.412686347961426,476.0
CartPole-v1,PPO,12345,10,500.0,0.0,100.0,9.35429072380066,500.0
CartPole-v1,PPO,666,1,261.0,140.97659380194997,0.0,1.0022897720336914,261.0
CartPole-v1,PPO,666,2,302.8,178.94960184364757,20.0,1.9556283950805664,302.8
CartPole-v1,PPO,666,3,132.4,17.738094598913378,0.0,2.898568630218506,132.4
CartPole-v1,PPO,666,4,411.0,122.245654319489,60.0,3.865429162979126,411.0
CartPole-v1,PPO,666,5,305.0,73.5472637152464,0.0,4.878248691558838,305.0
CartPole-v1,PPO,666,6,408.4,112.33093963819586,60.0,5.867658853530884,408.4
CartPole-v1,PPO,666,7,462.8,74.39999999999999,80.0,6.832082748413086,462.8
CartPole-v1,PPO,666,8,392.0,66.82215201563027,20.0,7.801570653915405,392.0
CartPole-v1,PPO,666,9,470.2,34.953683639925565,40.0,8.765440702438354,470.2
CartPole-v1,PPO,666,10,500.0,0.0,100.0,9.733824253082275,500.0
CartPole-v1,ARS,7,1,9.2,0.7483314773547883,0.0,0.03805828094482422,9.2
CartPole-v1,ARS,7,2,9.4,0.7999999999999999,0.0,0.07160639762878418,9.4
CartPole-v1,ARS,7,3,9.2,0.39999999999999997,0.0,0.10266947746276855,9.2
CartPole-v1,ARS,7,4,9.6,0.48989794855663565,0.0,0.1336963176727295,9.6
CartPole-v1,ARS,7,5,9.4,0.48989794855663565,0.0,0.16322040557861328,9.4
CartPole-v1,ARS,7,6,9.2,0.7483314773547882,0.0,0.1972813606262207,9.2
CartPole-v1,ARS,7,7,9.2,0.7483314773547883,0.0,0.22881197929382324,9.2
CartPole-v1,ARS,7,8,9.4,0.8,0.0,0.26134157180786133,9.4
CartPole-v1,ARS,7,9,9.4,0.7999999999999999,0.0,0.295886754989624,9.4
CartPole-v1,ARS,7,10,9.8,0.39999999999999997,0.0,0.32842159271240234,9.8
CartPole-v1,ARS,42,1,8.8,0.7483314773547882,0.0,0.04805731773376465,8.8
CartPole-v1,ARS,42,2,9.4,0.7999999999999999,0.0,0.08309340476989746,9.4
CartPole-v1,ARS,42,3,9.4,1.2,0.0,0.11363935470581055,9.4
CartPole-v1,ARS,42,4,9.8,0.9797958971132713,0.0,0.14968585968017578,9.8
CartPole-v1,ARS,42,5,9.2,0.7483314773547882,0.0,0.18323087692260742,9.2
CartPole-v1,ARS,42,6,9.2,0.7483314773547882,0.0,0.2182941436767578,9.2
CartPole-v1,ARS,42,7,9.4,0.48989794855663565,0.0,0.25183820724487305,9.4
CartPole-v1,ARS,42,8,9.6,0.4898979485566356,0.0,0.28586745262145996,9.6
CartPole-v1,ARS,42,9,9.8,0.4,0.0,0.3199150562286377,9.8
CartPole-v1,ARS,42,10,9.0,0.8944271909999159,0.0,0.35045456886291504,9.0
CartPole-v1,ARS,1337,1,9.8,0.7483314773547882,0.0,0.03455400466918945,9.8
CartPole-v1,ARS,1337,2,9.2,0.7483314773547882,0.0,0.0651099681854248,9.2
CartPole-v1,ARS,1337,3,9.8,0.39999999999999997,0.0,0.09613466262817383,9.8
CartPole-v1,ARS,1337,4,9.0,0.6324555320336759,0.0,0.12767338752746582,9.0
CartPole-v1,ARS,1337,5,9.2,0.4,0.0,0.1581885814666748,9.2
CartPole-v1,ARS,1337,6,9.0,0.6324555320336759,0.0,0.18770933151245117,9.0
CartPole-v1,ARS,1337,7,9.2,0.9797958971132713,0.0,0.22677016258239746,9.2
CartPole-v1,ARS,1337,8,9.8,0.4,0.0,0.25930070877075195,9.8
CartPole-v1,ARS,1337,9,9.8,0.39999999999999997,0.0,0.2933342456817627,9.8
CartPole-v1,ARS,1337,10,9.0,0.8944271909999159,0.0,0.3313567638397217,9.0
CartPole-v1,ARS,12345,1,8.6,0.48989794855663565,0.0,0.03451108932495117,8.6
CartPole-v1,ARS,12345,2,9.2,0.7483314773547883,0.0,0.06651473045349121,9.2
CartPole-v1,ARS,12345,3,9.2,0.39999999999999997,0.0,0.0970308780670166,9.2
CartPole-v1,ARS,12345,4,9.6,0.48989794855663565,0.0,0.1310408115386963,9.6
CartPole-v1,ARS,12345,5,9.0,0.8944271909999159,0.0,0.16405463218688965,9.0
CartPole-v1,ARS,12345,6,9.6,1.019803902718557,0.0,0.20057415962219238,9.6
CartPole-v1,ARS,12345,7,9.6,0.4898979485566356,0.0,0.2315981388092041,9.6
CartPole-v1,ARS,12345,8,11.2,1.1661903789690602,0.0,0.2661290168762207,11.2
CartPole-v1,ARS,12345,9,9.2,0.7483314773547883,0.0,0.2966475486755371,9.2
CartPole-v1,ARS,12345,10,9.6,0.7999999999999999,0.0,0.3306910991668701,9.6
CartPole-v1,ARS,666,1,9.6,0.48989794855663565,0.0,0.034569501876831055,9.6
CartPole-v1,ARS,666,2,9.2,0.7483314773547882,0.0,0.06960725784301758,9.2
CartPole-v1,ARS,666,3,9.6,0.48989794855663565,0.0,0.10413718223571777,9.6
CartPole-v1,ARS,666,4,9.8,0.39999999999999997,0.0,0.13566064834594727,9.8
CartPole-v1,ARS,666,5,9.2,0.7483314773547882,0.0,0.16718816757202148,9.2
CartPole-v1,ARS,666,6,9.2,0.7483314773547882,0.0,0.1977095603942871,9.2
CartPole-v1,ARS,666,7,9.8,0.39999999999999997,0.0,0.22873282432556152,9.8
CartPole-v1,ARS,666,8,9.0,0.6324555320336759,0.0,0.2602524757385254,9.0
CartPole-v1,ARS,666,9,9.4,0.48989794855663565,0.0,0.29076218605041504,9.4
CartPole-v1,ARS,666,10,9.2,0.7483314773547882,0.0,0.3237950801849365,9.2
CartPole-v1,TRPO,7,1,204.8,30.47228248753283,0.0,0.6198604106903076,204.8
CartPole-v1,TRPO,7,2,303.6,131.82048399243573,20.0,1.1953301429748535,303.6
CartPole-v1,TRPO,7,3,334.0,110.0327224056553,0.0,1.75984787940979,334.0
CartPole-v1,TRPO,7,4,355.2,119.34052119879483,40.0,2.3302440643310547,355.2
CartPole-v1,TRPO,7,5,398.2,103.10460707456286,40.0,2.9303970336914062,398.2
CartPole-v1,TRPO,7,6,409.2,111.21402789216835,60.0,3.4949233531951904,409.2
CartPole-v1,TRPO,7,7,382.0,99.09793136085132,40.0,4.1303019523620605,382.0
CartPole-v1,TRPO,7,8,442.6,70.42045157480887,60.0,4.743372440338135,442.6
CartPole-v1,TRPO,7,9,470.6,58.8,80.0,5.315592050552368,470.6
CartPole-v1,TRPO,7,10,500.0,0.0,100.0,5.924962282180786,500.0
CartPole-v1,TRPO,42,1,66.2,26.969612529660118,0.0,0.6103434562683105,66.2
CartPole-v1,TRPO,42,2,190.2,87.80296122568987,0.0,1.2272441387176514,190.2
CartPole-v1,TRPO,42,3,294.6,167.78629264633034,40.0,1.826991081237793,294.6
CartPole-v1,TRPO,42,4,291.6,114.67275177652274,20.0,2.3770062923431396,291.6
CartPole-v1,TRPO,42,5,397.4,93.61111045169798,40.0,2.9404819011688232,397.4
CartPole-v1,TRPO,42,6,331.8,101.06314857553173,20.0,3.491039514541626,331.8
CartPole-v1,TRPO,42,7,237.8,48.49082387421356,0.0,4.0445873737335205,237.8
CartPole-v1,TRPO,42,8,248.8,37.300938325999255,0.0,4.625178575515747,248.8
CartPole-v1,TRPO,42,9,471.6,39.9279350830969,60.0,5.197736024856567,471.6
CartPole-v1,TRPO,42,10,500.0,0.0,100.0,5.767965078353882,500.0
CartPole-v1,TRPO,1337,1,257.4,124.4260422901894,0.0,0.6192915439605713,257.4
CartPole-v1,TRPO,1337,2,178.6,56.25513309912261,0.0,1.2341008186340332,178.6
CartPole-v1,TRPO,1337,3,432.0,113.53237423748347,60.0,1.7943825721740723,432.0
CartPole-v1,TRPO,1337,4,500.0,0.0,100.0,2.362643003463745,500.0
CartPole-v1,TRPO,1337,5,283.6,80.36815289652986,0.0,2.928253412246704,283.6
CartPole-v1,TRPO,1337,6,248.4,74.37634032405735,0.0,3.5395309925079346,248.4
CartPole-v1,TRPO,1337,7,411.6,73.45638161521434,40.0,4.136223077774048,411.6
CartPole-v1,TRPO,1337,8,454.4,72.31210133857265,40.0,4.71976375579834,454.4
CartPole-v1,TRPO,1337,9,424.6,63.06060576937079,40.0,5.323468208312988,424.6
CartPole-v1,TRPO,1337,10,500.0,0.0,100.0,5.884241580963135,500.0
CartPole-v1,TRPO,12345,1,180.2,9.826494797230598,0.0,0.59690260887146,180.2
CartPole-v1,TRPO,12345,2,227.4,146.49450501639987,20.0,1.1502056121826172,227.4
CartPole-v1,TRPO,12345,3,237.2,132.95021624653344,20.0,1.7195236682891846,237.2
CartPole-v1,TRPO,12345,4,356.6,76.99506477690632,20.0,2.272831439971924,356.6
CartPole-v1,TRPO,12345,5,487.0,26.0,80.0,2.83212947845459,487.0
CartPole-v1,TRPO,12345,6,430.2,86.37221775547968,60.0,3.4164865016937256,430.2
CartPole-v1,TRPO,12345,7,492.2,15.6,80.0,4.022408485412598,492.2
CartPole-v1,TRPO,12345,8,499.0,2.0,80.0,4.600298643112183,499.0
CartPole-v1,TRPO,12345,9,500.0,0.0,100.0,5.2323009967803955,500.0
CartPole-v1,TRPO,12345,10,500.0,0.0,100.0,5.835546970367432,500.0
CartPole-v1,TRPO,666,1,236.8,108.00074073820049,0.0,0.6120920181274414,236.8
CartPole-v1,TRPO,666,2,206.8,142.38033572091337,0.0,1.2006325721740723,206.8
CartPole-v1,TRPO,666,3,206.4,101.3283770717759,0.0,1.7642631530761719,206.4
CartPole-v1,TRPO,666,4,211.8,65.00276917178222,0.0,2.346426486968994,211.8
CartPole-v1,TRPO,666,5,388.8,107.69289670168595,40.0,2.904961109161377,388.8
CartPole-v1,TRPO,666,6,327.0,89.90439366349122,20.0,3.4770562648773193,327.0
CartPole-v1,TRPO,666,7,409.8,79.10347653548484,20.0,4.0402421951293945,409.8
CartPole-v1,TRPO,666,8,476.6,46.800000000000004,80.0,4.641955614089966,476.6
CartPole-v1,TRPO,666,9,500.0,0.0,100.0,5.209569215774536,500.0
CartPole-v1,TRPO,666,10,500.0,0.0,100.0,5.786210060119629,500.0
CartPole-v1,REINFORCE,7,1,38.4,11.909659944767524,0.0,0.003500699996948242,38.4
CartPole-v1,REINFORCE,7,2,59.2,9.47417542586161,0.0,0.00700068473815918,59.2
CartPole-v1,REINFORCE,7,3,44.4,7.445804187594515,0.0,0.010501384735107422,44.4
CartPole-v1,REINFORCE,7,4,73.6,39.40862849681527,0.0,0.01500558853149414,73.6
CartPole-v1,REINFORCE,7,5,52.4,19.5816240388789,0.0,0.01801013946533203,52.4
CartPole-v1,REINFORCE,7,6,55.6,22.312328430712917,0.0,0.022019624710083008,55.6
